STT	Duration	Pulse 	Maxpulse	Calories
0	60	        45	    110	        409.1
1	70	        74	    110	        45.2
2	80	        57	    110	        25
3	90	        42	    110	        26.5
4	100	        75	    110	        26.7
5	110	        86	    110	        29.9
6	120	        24	    110	        600.4
7	130	        36	    110	        707.5
8	140	        7	    110	        95.5
9	150	        78	    110	        24.8
10	160	        3	    110	        353.4
11	170	        35  	110     	525.4
12	180	        36	    110     	367.4
